Query_Index,Triple_Count,GT,CRAWD_config1,re_crawd_config1,Execution_Time_CRAWD
query_168,4,435402,510719,17.298266888989943,6.462
query_289,2,512028,510475,-0.3033037255775075,5.434
query_288,4,512028,509634,-0.46755255571960913,6.355
query_505,2,448876,449065,0.04210516935634785,5.49
query_122,3,393384,392847,-0.13650783966811056,5.54
query_593,2,382447,383529,0.282915018290116,8.044
query_464,2,352787,352152,-0.17999529461119598,5.623
query_465,3,349696,348710,-0.28195918740849196,6.063
query_379,2,336688,342313,1.6706862139428786,7.808
query_135,2,320726,320662,-0.019954727711504524,5.588
query_126,3,326891,319722,-2.1930857686507124,5.487
query_136,3,301570,302103,0.17674171834068375,5.8
query_76,2,284037,283728,-0.10878864373303479,5.589
query_140,3,275458,275482,0.00871276201816611,5.815
query_138,4,279051,271351,-2.759352233104343,6.614
query_499,2,270194,270291,0.035900131016972994,5.569
query_501,2,256311,256078,-0.09090518939881628,5.753
query_431,4,245189,248459,1.33366505022656,5.826
query_528,2,242305,242489,0.07593735168485999,5.607
query_603,2,243085,239765,-1.3657774029660408,6.495
query_527,2,237823,236872,-0.3998772196129054,5.456
query_137,4,223432,228190,2.1295069640875077,6.981
query_533,3,216182,218366,1.0102598736250012,5.966
query_530,2,203358,205768,1.1851021351508177,5.397
query_525,2,184011,184313,0.16412062322361162,5.689
query_283,2,150022,150408,0.2572955966458253,5.447
query_77,4,146859,148423,1.0649670772645872,5.931
query_343,3,146188,145613,-0.3933291378225299,5.288
query_15,3,133536,133526,-0.007488617301701414,5.822
query_504,2,128744,128582,-0.1258311066923507,5.618
query_423,3,116493,116492,-0.000858420677637283,6.016
query_20,3,110506,110528,0.019908421262193908,5.698
query_531,2,100281,99250,-1.0281110080673308,5.675
query_451,5,85597,88313,3.1730083998270966,6.62
query_74,3,63067,62957,-0.1744176827818035,6.335
query_282,4,59005,59078,0.12371832895517329,6.34
query_156,3,54313,53524,-1.4526908843186714,5.768
query_339,2,51224,51323,0.19326878025925348,5.568
query_238,2,47985,46546,-2.998853808481817,5.334
query_13,3,46995,46515,-1.021385253750399,5.643
query_212,4,44630,45428,1.7880349540667713,6.42
query_579,2,34907,34104,-2.3003982009339103,5.813
query_568,2,23408,23784,1.6062884483937117,4.941
query_502,2,21638,21651,0.06007948978648674,5.481
query_407,2,16801,17417,3.666448425688947,7.033
query_29,3,17226,17117,-0.6327644258678741,6.393
query_450,3,15836,15596,-1.5155342258145996,5.756
