query_path,count,execution_time,triple_count
/GDD/Thi/wdbench_multiple_bgps_count_all/query_679.sparql,259,40.43,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_587.sparql,258,0.035,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_567.sparql,247,0.044,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_573.sparql,198,0.04,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_619.sparql,183,0.035,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_519.sparql,180,0.048,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_393.sparql,179,0.041,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_316.sparql,167,0.152,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_42.sparql ,163,0.077,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_676.sparql,162,0.058,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_314.sparql,159,0.086,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_506.sparql,155,0.124,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_3.sparql  ,148,0.112,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_656.sparql,130,5.956,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_376.sparql,128,0.095,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_308.sparql,124,0.119,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_165.sparql,121,0.134,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_323.sparql,112,0.054,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_673.sparql,110,0.191,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_358.sparql,109,80.62,6
/GDD/Thi/wdbench_multiple_bgps_count_all/query_119.sparql,106,0.069,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_558.sparql,102,0.078,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_559.sparql,100,0.043,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_216.sparql,98,1.336,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_470.sparql,95,0.046,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_458.sparql,84,0.079,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_589.sparql,81,0.033,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_11.sparql ,79,0.039,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_350.sparql,75,0.033,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_485.sparql,67,0.039,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_17.sparql,65,22.59,6
/GDD/Thi/wdbench_multiple_bgps_count_all/query_162.sparql,64,0.095,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_572.sparql,63,0.048,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_677.sparql,62,1.863,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_208.sparql,60,0.041,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_382.sparql,58,0.045,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_346.sparql,51,56.348,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_628.sparql,50,0.05,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_551.sparql,50,0.035,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_666.sparql,44,0.995,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_380.sparql,40,0.036,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_529.sparql,33,0.04,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_373.sparql,32,0.353,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_202.sparql,29,0.13,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_298.sparql,25,0.027,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_473.sparql,22,22.31,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_319.sparql,21,0.046,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_302.sparql,13,0.046,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_360.sparql,10,39.92,6
/GDD/Thi/wdbench_multiple_bgps_count_all/query_646.sparql,8,180.598,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_680.sparql,8,0.043,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_474.sparql,7,0.028,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_552.sparql,7,0.031,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_674.sparql,6,0.084,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_195.sparql,5,0.12 ,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_590.sparql,4,0.042,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_199.sparql,3,0.067,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_564.sparql,3,0.037,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_484.sparql,2,0.046,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_658.sparql,2,0.027,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_536.sparql,2,0.031,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_347.sparql,1,39.31,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_92.sparql ,1,0.043,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_105.sparql,1,0.056,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_131.sparql,0,0.043,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_592.sparql,0,0.052,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_480.sparql,0,0.039,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_276.sparql,0,0.033,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_438.sparql,0,0.037,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_577.sparql,0,0.037,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_523.sparql,0,0.033,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_550.sparql,0,0.032,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_204.sparql,0,0.037,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_491.sparql,0,0.029,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_287.sparql,0,0.035,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_582.sparql,0,0.032,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_546.sparql,Timeout,600.096,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_669.sparql,Timeout,600.096,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_272.sparql,Timeout,600.059,9
/GDD/Thi/wdbench_multiple_bgps_count_all/query_635.sparql,Timeout,600.099,6
/GDD/Thi/wdbench_multiple_bgps_count_all/query_155.sparql,Timeout,600.099,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_273.sparql,Timeout,600.033,10
/GDD/Thi/wdbench_multiple_bgps_count_all/query_284.sparql,Timeout,600.092,7
/GDD/Thi/wdbench_multiple_bgps_count_all/query_604.sparql,Timeout,600.1,6
/GDD/Thi/wdbench_multiple_bgps_count_all/query_614.sparql,Timeout,600.103,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_605.sparql,Timeout,600.019,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_659.sparql,Timeout,600.08,4
