Query_Index,Execution_Time_CL,CHAOLEE_config1,Triple_Count
query_298,4.218,25.0,2
query_299,7.02,3084425.6126536233,2
query_3,5.662,149.2949389559895,2
query_300,7.753,1635.0117332203179,2
query_302,5.689,13.067706200623501,2
query_305,4.87,354.9098198366474,2
query_308,6.91,125.41031765761286,2
query_314,5.49,158.9659616637253,2
query_316,5.549,152.19177702349404,4
query_318,7.551,3352.8115746971735,2
query_319,5.395,20.73716203381245,2
query_323,5.242,112.08207901214642,2
query_324,8.567,431.21526616188055,2
query_326,7.36,12277.669061159333,2
query_328,7.796,406.1744128314959,3
query_334,6.234,663.9872763291404,2
query_336,6.167,5804.043513009501,2
query_339,6.939,52128.04338698391,2
query_343,7.69,146296.63020705778,3
query_344,6.723,13125.240515315021,2
query_345,6.1,8604.41169764679,2
query_346,7.912,52.63508170404209,5
query_347,7.955,0.0,5
query_348,7.105,4668.401971957736,2
query_349,7.716,11539318.017766438,2
query_350,4.802,74.79378281436813,2
query_351,7.715,8132801.947416474,2
query_352,6.456,9706157.68607125,2
query_353,4.603,6378.991079418233,3
query_354,7.18,9961.39486994543,3
query_355,8.052,554676.2662186044,3
query_356,6.763,10438.459296134173,3
query_357,5.076,24.621402866946426,3
query_358,4.505,1.8136565818390908,6
query_360,7.941,0.0,6
query_367,7.119,3516.981843357903,2
query_371,4.782,4.580371188182314,4
query_373,5.088,23.164148840439875,4
query_376,6.26,122.50077341520763,5
query_379,7.29,335804.3439004548,2
query_380,5.078,38.20235396131138,2
query_382,4.898,57.0622982859935,3
query_385,6.698,931032.725369894,2
query_386,7.398,883218.2498465044,3
query_391,6.51,3477668.4730574377,2
query_393,4.855,177.22780320381082,2
query_394,5.839,912784.4030730871,2
query_395,7.22,1543686.0396471927,2
query_396,8.262,908508.0015812367,4
query_407,7.094,10308.677024767389,2
query_42,5.687,160.8824129719923,3
query_423,8.193,113269.26384326608,3
query_424,8.704,991818.3217650355,5
query_425,9.416,858501.8597904515,6
query_427,7.189,331.6737772790091,3
query_431,9.03,250984.1674776598,4
query_434,8.981,1256809.0353947647,4
query_435,7.144,2732697.3423014753,3
query_439,6.008,2763635.684169004,2
query_447,7.379,1236212.6543603917,2
query_450,8.823,15816.003979229436,3
query_451,10.424,85823.1610057724,5
query_455,8.097,1719762.4231738038,2
query_456,7.346,1078178.5211282498,2
query_457,7.003,759.7765929567408,2
query_458,5.782,84.4110640434963,2
query_464,7.204,352314.0752475248,2
query_465,8.206,346110.62011173187,3
query_466,8.295,4008296.4887018376,3
query_468,8.663,2262325.36385272,4
query_469,6.84,7306278.000000001,2
query_470,4.947,94.5449231160249,2
query_473,8.015,15.429952125823542,2
query_474,4.229,7.0,2
query_476,6.8,7278.361787141301,2
query_477,5.385,851.0,2
query_478,5.948,667.8226600985222,3
query_484,3.559,2.008072747517862,2
query_485,5.02,66.86030154053235,2
query_486,8.751,2117.015676263079,5
query_494,7.597,611332.4269699698,2
query_496,3.971,0.6982447603806219,9
