Query_Index,Execution_Time,Result,Triple_Count
query_643,2645,241368312589.0,2
query_642,2841,55052108.99999999,2
query_641,2790,1323565039102.0,2
query_640,3810,616977816.8997904,2
query_636,3100,574517124.0000001,2
query_634,1207,429.0641250062517,2
query_633,18099,34885282.22716228,2
query_632,2331,9304815.420781031,2
query_631,2635,2550400.502798259,2
query_630,2256,14617.165841584158,2
query_63,2917,218519390600.0,2
query_629,4680,9185710.526255265,2
query_628,1685,50.0,2
query_627,1633,399.72203279129405,2
query_626,1903,7149.429092738454,2
query_625,2684,64153272.0,2
query_624,2255,192415884.0,2
query_623,2970,46358007588.0,2
query_622,2430,2447.243404834948,2
query_656,4421,141.9690165918251,2
query_621,2200,10744284635.0,2
query_657,3217,60600176.0,2
query_660,2547,752605854.0,2
query_97,2526,331238214.0,2
query_96,2677,851960755296.0,2
query_95,2681,313408797408.0,2
query_9,2249,64683277170.00001,2
query_88,2185,53713228407.99999,2
query_87,2516,1586527264.0,2
query_86,2131,70353513160.0,2
query_85,2691,129105367048.00002,2
query_79,2770,1101611198548.0002,2
query_76,1881,284065.41202570224,2
query_70,2859,518047041001.0,2
query_7,2206,64503135.0,2
query_69,2882,23486243746.0,2
query_681,2772,207278573424.0,2
query_680,1440,8.001786856676446,2
query_679,8670,533.445546732804,2
query_676,2629,153.54038896723625,2
query_674,2769,5.9263588544710695,2
query_67,3574,2621346096303.999,2
query_669,2884,15824907621.0576,2
query_668,2458,68289268860.00001,2
query_667,3553,2692931.6001669373,2
query_666,2916,43.719127410686056,2
query_664,3405,127046347092729.44,2
query_663,2643,46878759.0,2
query_662,3668,2471569.009620772,2
query_661,2297,1701848064.0000002,2
query_658,2226,2.0,2
query_620,2629,20731888.0,2
query_62,2209,206108000.0,2
query_619,1639,183.0577310074704,2
query_571,72950,0.0,2
query_570,2797,164226057066.0,2
query_569,1988,148518.0,2
query_568,3127,23726.60805437989,2
query_567,1875,245.5768136878696,2
query_566,2562,167316115.99999997,2
query_565,2326,62704797504.0,2
query_564,2407,3.0019836627569862,2
query_563,2445,2500.0,2
query_562,5158,138696052378.0,2
query_561,3091,215598111872.0,2
query_560,2097,10184.974472294123,2
query_559,2254,100.0,2
query_558,2859,103.2117876227329,2
query_557,3078,181800528.0,2
query_556,2919,311658048.0,2
query_555,1919,795.5799615364468,2
query_554,2409,737661296.9999999,2
query_552,1808,6.96649040461054,2
query_551,2632,49.93073338011572,2
query_549,67138,0.0,2
query_548,6058,13667147.9888758,2
query_547,3720,19668313.09596599,2
query_546,11861,26878048.92331499,2
query_545,10214,37280216.0,2
query_543,2674,85130240.0,2
query_541,2503,4085553152.0,2
query_572,1492,63.51655216318736,2
query_573,1152,198.0807764433628,2
query_575,2858,186431716.0,2
query_576,2532,1005043833.0,2
query_616,3483,79485675448829.39,2
query_615,3074,47824079592750.66,2
query_613,2403,20696607.49906252,2
query_612,2635,1138504388.0,2
query_611,2986,6803481867.0,2
query_610,3145,84579858243.99998,2
query_608,2841,1193593309.9999998,2
query_607,2684,596796654.9999999,2
query_606,2825,425460926093.0,2
query_603,1975,299625.8233108545,2
query_6,2315,626511874.0,2
query_599,2176,3266028.6972162058,2
query_598,2980,1382137.524934383,2
query_325,2633,3065813794.0000005,2
