Query_Index,Execution_Time,Result,Triple_Count
query_21,1695,38041.420542924716,3
query_210,2150,8973.720364024713,5
query_211,3899,2.155874992700656E7,6
query_212,2234,58988.76022287714,4
query_213,2047,1.9381645411764705E8,3
query_214,2032,7.448572760588421E7,6
query_215,2497,3.267928165946273E12,3
query_216,2213,90.70915047212463,4
query_217,1282,31071.056715462764,4
query_218,2900,1.5863686544999998E10,2
query_219,3027,1.6592610347940394E8,3
query_22,1741,37659.44626725754,3
query_220,2552,1.619622217694673E8,3
query_221,3045,9.72960800166725E13,2
query_222,2551,5.90860765E8,2
query_223,2809,7.7629472585E10,2
query_224,1558,1.8987811238864254E7,5
query_225,1717,9.581091033622323E7,3
query_226,1738,3.527132161015874E8,3
query_227,2815,1.0418082084899997E11,2
query_228,1741,715.4764289138657,2
query_229,2611,2.6186241060000005E9,2
query_23,2446,3536.066487932747,4
query_230,2462,2.689470992E10,2
query_231,2609,7.126763899999999E8,2
query_232,2491,2.9045909546484207E10,4
query_233,1862,1.3995326413161077E10,5
query_234,2398,2.712986992016964E8,4
query_235,2602,7.83522E7,2
query_236,2416,1.3191878000000002E7,2
query_237,1500,1.7060341615773745E10,6
query_238,2207,56414.62595164527,2
query_239,1578,4.9252300441200006E11,3
query_24,1696,5.180998902333614E15,4
query_240,2552,8.8870986E7,2
query_241,1533,1.8952507738481564E11,5
query_242,1919,1.436526877320648E13,5
query_243,1683,3.8836620882E11,3
query_244,1593,1.7474095762711864E9,6
query_245,3368,3.747173454539999E11,2
query_246,2396,2.4784971273E10,2
query_247,2227,1.6501895000000002E7,2
query_248,4588,9.962874143801526E8,5
query_249,3336,1.9896467525121253E7,5
query_25,1642,1.3110848027969136E9,3
query_250,2355,2.7270630170660168E10,3
query_251,2626,1.6443324072E10,2
query_252,2376,6.4850667E8,2
query_253,2966,10317.235786367295,3
query_254,1830,2.240161416598065E9,3
query_255,3924,3.6359612318921E7,2
query_256,8381,2.9984994697185446E7,3
query_257,2737,2.4195526871999996E10,2
query_258,1548,1.4481355161893347E7,3
query_259,2905,2.0953640735999996E10,2
query_26,1742,8540.418865036852,4
query_260,3727,1.43342022438E11,2
query_261,2995,2013294.0,2
query_262,1397,1593269.0920682882,3
query_263,2640,9.557046900000001E8,2
query_264,3216,2519.3935018050543,2
query_265,1519,4.49064E10,3
query_266,1666,4.7192543999999994E11,3
query_267,2189,3.6855E7,2
query_268,2552,8.19315E8,2
query_269,2262,3.578936261999999E10,2
query_27,3809,3.303717503301381E11,3
query_270,2673,9.948896485439999E11,2
query_271,1612,2.2990132014782816E8,3
query_272,1968,1.4100506951899803E8,9
query_273,1977,3.1326606893268492E7,10
query_274,2940,1.4147367263E10,2
query_275,1435,3.0475563264E10,3
query_277,2420,1.1638586250000002E10,2
query_278,1615,1.0996286752000002E10,3
query_279,2131,6.740295991034317E8,3
query_28,2485,1.6979447205E10,2
query_280,1362,2797.5161237101033,3
query_281,1724,1.5497068173191145E8,3
query_282,1705,815127.1204642167,4
query_283,2049,970545.5667753469,2
query_284,1568,3.221988258671286E10,7
query_285,2719,4.82893694287377E9,3
query_286,1626,584.9303570378213,3
query_288,1936,5907227.049913671,4
query_289,2300,1117307.4583954199,2
query_29,1547,661310.9273894227,3
query_290,4543,1.5378628403555166E10,3
query_291,2457,3.3346778052000006E11,2
query_292,2956,2.30460864122E12,2
query_293,4038,1.9958143185845523E13,3
query_294,1635,929.9372909698997,4
query_295,1454,1790.2381707513932,2
query_296,2172,8.71235855E8,2
query_297,1583,7.672895190418755E10,5
query_298,2545,25.0,2
query_299,4432,3093345.56280186,2
